corruption,./results/mnist/Aug14_1023_fs_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1039_fs_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1051_fs_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_1102_fs_res4_run4/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1114_fs_res4_run5/best_epoch25_acc1.0000.pt
identity,99.46000277996063,99.47000443935394,99.45000350475311,99.45000469684601,99.42000269889832
shot_noise,98.88000547885895,98.64000499248505,98.80000472068787,98.93000423908234,97.5700044631958
impulse_noise,95.45000493526459,94.37000453472137,95.64000487327576,96.21000468730927,90.63000440597534
glass_blur,93.54000508785248,92.86000430583954,96.2000048160553,95.76000571250916,91.34000420570374
motion_blur,97.06000447273254,95.83000481128693,96.67000532150269,97.38000452518463,93.93000423908234
shear,98.53000462055206,98.47000360488892,98.7300044298172,98.62000524997711,98.43000411987305
scale,96.05000495910645,96.26000463962555,97.17000484466553,97.1200031042099,96.82000398635864
rotate,94.57000374794006,94.63000476360321,94.67000365257263,94.37000513076782,94.23000395298004
brightness,91.31000399589539,96.00000441074371,46.110002398490906,53.190002739429474,89.48000431060791
translate,68.05000245571136,68.76000344753265,69.2900025844574,69.64000344276428,66.9100034236908
stripe,85.89000344276428,73.28000366687775,75.93000411987305,76.82000398635864,81.4100033044815
fog,57.54000246524811,74.76000308990479,19.13000077009201,26.1200013756752,63.190003037452705
spatter,98.07000517845154,97.74000346660614,98.62000465393066,98.04000496864319,97.74000644683838
dotted_line,97.76000499725342,98.23000431060791,97.67000436782837,97.6600044965744,97.65000402927399
zigzag,89.19000446796417,91.21000409126282,89.73000407218933,90.10000348091125,88.92000436782837
canny_edges,76.58000409603119,71.99000358581543,71.79000318050385,72.87000238895416,73.90000402927399
