corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.40000355243683,99.45000410079956,99.47000443935394,99.33000445365906,99.41000401973724
shot_noise,96.95000529289246,96.50000512599945,96.68000519275665,97.11000502109528,95.33000349998474
impulse_noise,96.16000473499298,96.67000412940979,95.83000481128693,95.76000332832336,96.59000396728516
glass_blur,94.0600049495697,94.76000368595123,94.57000434398651,95.70000529289246,93.42000424861908
motion_blur,96.58000469207764,95.75000524520874,96.40000402927399,96.44000470638275,96.56000554561615
shear,98.21000516414642,98.62000346183777,98.4600043296814,98.29000473022461,98.35000455379486
scale,96.32000386714935,95.98000466823578,97.30000495910645,96.98000431060791,96.6200041770935
rotate,93.96000564098358,94.02000486850739,94.15000438690186,94.34000432491302,94.08000469207764
brightness,99.07000362873077,99.24000442028046,99.20000433921814,99.0900045633316,99.20000493526459
translate,61.64000332355499,60.98000288009644,60.770003199577324,60.2100032567978,62.1800035238266
stripe,90.64000487327576,73.4900027513504,87.43000447750092,86.84000551700592,87.85000324249268
fog,96.59000515937805,96.87000513076782,87.75000393390656,95.80000400543213,96.4400041103363
spatter,98.14000487327576,97.88000583648682,98.41000437736511,97.97000408172607,97.86000490188599
dotted_line,98.3400046825409,98.8200044631958,98.59000384807587,98.25000524520874,98.66000413894653
zigzag,91.86000466346741,93.9700037240982,92.02000498771667,91.71000480651855,91.50000512599945
canny_edges,74.78000342845917,69.99000370502472,71.29000425338745,73.17000269889832,72.96000361442566
