corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,99.12000477313995,99.13000524044037,99.08000409603119,99.16000425815582,99.09000396728516
shot_noise,81.06000423431396,80.74000418186188,84.27000343799591,86.65000438690186,80.67000389099121
impulse_noise,81.09000384807587,78.36000442504883,79.07000362873077,83.68000328540802,77.41000413894653
glass_blur,55.70000290870667,63.050003051757805,59.90000247955323,68.99000346660614,68.86000335216522
motion_blur,84.0600037574768,92.80000388622284,86.4700037240982,87.63000547885895,90.77000379562378
shear,97.33000457286835,97.36000418663025,97.37000465393066,97.36000537872314,97.14000463485718
scale,95.79000532627106,95.63000440597534,96.10000550746918,95.96000492572784,95.09000360965729
rotate,91.42000377178192,91.52000486850739,91.62000358104706,91.19000434875488,90.87000489234924
brightness,98.46000492572784,98.24000418186188,97.87000477313995,96.54000520706177,98.45000445842743
translate,50.50000280141831,49.09000247716904,50.25000244379043,48.380002081394196,46.67000234127045
stripe,94.4700038433075,93.66000533103943,94.33000385761261,92.94000506401062,93.27000439167023
fog,47.30000227689743,87.10000395774841,64.76000189781189,68.82000267505646,86.30000412464142
spatter,97.02000498771667,97.9300045967102,97.44000494480133,97.3600047826767,97.85000443458557
dotted_line,97.30000436306,97.49000430107117,97.76000440120697,97.9000049829483,97.68000364303589
zigzag,91.79000437259674,90.78000485897064,91.72000467777252,93.17000389099121,92.65000402927399
canny_edges,61.070002913475044,49.880002439022064,50.09000271558761,57.34000205993652,54.93000149726868
