corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.4100034236908,99.45000410079956,99.47000443935394,99.4200050830841,99.43000316619873
shot_noise,98.59000504016876,98.65000486373901,98.78000438213348,98.64000499248505,98.27000498771667
impulse_noise,95.17000496387482,96.1100047826767,93.96000504493713,94.64000403881073,95.05000352859497
glass_blur,94.51000392436981,95.1600056886673,94.73000407218933,95.85000455379486,93.46000492572784
motion_blur,97.08000361919403,96.19000434875488,96.3200044631958,96.92000389099121,96.73000454902649
shear,98.41000318527222,98.75000357627869,98.57000410556793,98.47000420093536,98.43000411987305
scale,96.34000480175018,96.14000499248505,97.39000499248505,96.91000461578369,96.70000433921814
rotate,94.11000490188599,94.36000466346741,94.24000442028046,94.50000464916229,94.3800038099289
brightness,85.80000400543213,89.77000534534454,39.54000174999237,77.17000305652618,84.42000389099121
translate,66.27000331878662,66.77000343799591,65.90000212192535,66.85000360012054,67.33000338077545
stripe,77.50000357627869,47.3100021481514,74.88000392913818,73.7600040435791,74.53000366687775
fog,57.220003604888916,57.79000282287598,22.59000137448311,50.930001735687256,59.53000307083129
spatter,98.3400046825409,98.12000453472137,98.39000463485718,97.97000527381897,97.99000442028046
dotted_line,97.89000391960144,98.50000500679016,98.06000471115112,97.5700044631958,98.06000530719757
zigzag,89.21000361442566,92.28000402450562,90.13000428676605,89.7100043296814,89.0900045633316
canny_edges,75.53000330924988,69.2900025844574,72.32000231742859,72.99000382423401,72.57000386714935
