corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.3800038099289,99.43000435829163,99.49000537395477,99.34000432491302,99.4100034236908
shot_noise,97.66000509262085,97.65000462532043,97.75000512599945,97.97000408172607,97.0700055360794
impulse_noise,97.03000485897064,97.16000497341156,96.58000469207764,96.3200044631958,97.34000504016876
glass_blur,94.1200053691864,94.85000550746918,94.88000392913818,95.90000450611115,93.48000466823578
motion_blur,96.6800045967102,95.92000544071198,96.33000493049622,96.500004529953,96.6200041770935
shear,98.22000443935394,98.54000449180603,98.37000370025635,98.28000485897064,98.32000434398651
scale,96.25000417232513,96.04000508785248,97.27000534534454,96.93000495433807,96.65000379085541
rotate,93.87000501155853,94.10000443458557,93.90000402927399,94.38000440597534,94.06000435352325
brightness,99.08000349998474,99.33000445365906,97.77000546455383,99.1200041770935,99.18000519275665
translate,58.45000326633454,58.36000263690948,58.130002617836,58.05000245571137,59.17000293731689
stripe,89.96000409126282,66.22000336647034,84.47000443935394,84.35000360012054,84.35000419616699
fog,97.34000444412231,97.3300051689148,84.17000472545624,96.85000419616699,97.12000489234924
spatter,98.24000477790833,97.92000472545624,98.48000466823578,98.0200046300888,97.86000490188599
dotted_line,98.47000420093536,98.96000266075134,98.63000512123108,98.2800042629242,98.56000423431396
zigzag,92.92000412940979,94.75000441074371,92.84000515937805,92.77000486850739,92.41000533103943
canny_edges,73.66000354290009,70.00000298023224,70.81000328063965,72.36000299453735,72.50000298023224
