corruption,./results/mnist/Aug14_0508_hsf_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_0525_hsf_res4_run2/best_epoch25_acc1.0000.pt,./results/mnist/Aug14_0540_hsf_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_0556_hsf_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0612_hsf_res4_run5/best_epoch28_acc1.0000.pt
identity,98.84000420570374,98.34000527858734,97.89000391960144,98.48000526428223,97.42000460624695
shot_noise,97.14000463485718,97.12000489234924,95.53000390529633,97.43000566959381,95.64000487327576
impulse_noise,93.10000360012054,95.28000473976135,93.6700052022934,95.17000436782837,93.6100035905838
glass_blur,92.19000458717346,93.05000483989716,94.10000443458557,94.97000336647034,91.2600040435791
motion_blur,96.86000466346741,96.61000609397888,96.55000448226929,96.52000427246094,95.86000502109528
shear,97.79000461101532,97.71000504493713,98.16000401973724,98.31000447273254,97.40000545978546
scale,96.3800036907196,96.40000462532043,96.40000462532043,95.79000532627106,96.58000528812408
rotate,93.36000502109528,93.33000481128693,93.44000458717346,92.86000370979309,92.7200037240982
brightness,95.51000475883484,94.78000462055206,94.72000360488892,96.67000412940979,92.50000476837158
translate,63.84000301361083,63.78000259399415,60.920002460479736,61.15000247955322,62.11000323295593
stripe,89.49000477790833,85.88000357151031,91.64000451564789,84.6200042963028,84.01000440120697
fog,93.37000370025635,95.83000540733337,91.69000446796417,94.80000495910645,92.35000550746918
spatter,97.52000510692596,97.17000484466553,97.3900043964386,97.59000539779663,96.24000370502472
dotted_line,97.3300051689148,97.29000568389893,96.84000492095947,96.48000478744507,95.75000405311584
zigzag,89.38000440597534,90.29000401496887,90.1900041103363,90.5200046300888,89.6800047159195
canny_edges,75.02000391483307,69.60000336170197,74.16000366210938,72.10000336170197,73.90000462532043
