corruption,./results/mnist/May29_2045_blur_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/May29_2056_blur_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/May29_2109_blur_res4_run3/best_epoch32_acc1.0000.pt,./results/mnist/May29_2121_blur_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/May29_2132_blur_res4_run5/best_epoch30_acc1.0000.pt
identity,99.50000524520874,99.45000469684601,99.55000400543213,99.50000405311584,99.40000414848328
shot_noise,98.55000495910645,98.54000389575958,98.74000430107117,98.9100033044815,98.31000506877899
impulse_noise,93.83000373840332,94.52000498771667,96.05000436306,96.42000555992126,93.33000361919403
glass_blur,93.87000441551208,95.07000505924225,94.47000324726105,95.27000367641449,92.68000483512878
motion_blur,97.25000500679016,96.54000461101532,96.80000483989716,97.28000402450562,95.56000411510468
shear,98.43000531196594,98.72000277042389,98.63000512123108,98.43000411987305,98.53000402450562
scale,96.43000423908234,97.05000340938568,96.95000529289246,96.30000412464142,96.96000516414642
rotate,94.64000344276428,94.47000443935394,94.90000545978546,94.71000492572784,94.50000405311584
brightness,83.79000425338745,90.47000408172607,55.86000204086303,50.74000269174576,88.10000419616699
translate,65.3300029039383,65.18000364303589,69.34000432491302,67.82000422477722,66.90000295639038
stripe,82.88000464439392,74.81000423431396,60.37000298500062,74.60000395774841,78.37000370025635
fog,51.49000287055969,57.14000284671783,24.920001178979874,32.26000130176544,61.760003566741936
spatter,98.31000566482544,98.08000564575195,98.71000468730927,98.49000453948975,98.04000437259674
dotted_line,97.62000560760498,98.2800042629242,97.42000341415405,97.70000457763672,97.91000425815582
zigzag,90.23000478744507,92.70000457763672,89.96000409126282,89.81000483036041,90.15000462532043
canny_edges,73.0700033903122,65.99000453948975,69.34000253677368,71.44000291824341,73.47000360488892
,88.45125440508127,88.56312923133373,83.87562886811793,84.98000392690301,88.99812914431095
