corruption,./results/mnist/May29_2045_blur_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/May29_2056_blur_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/May29_2109_blur_res4_run3/best_epoch32_acc1.0000.pt,./results/mnist/May29_2121_blur_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/May29_2132_blur_res4_run5/best_epoch30_acc1.0000.pt
identity,99.47000503540039,99.35000479221344,99.54000353813171,99.49000358581543,99.35000479221344
shot_noise,96.37000441551208,96.45000517368317,97.02000498771667,97.79000461101532,94.72000420093536
impulse_noise,94.16000485420227,95.55000483989716,96.73000454902649,97.28000402450562,95.13000428676605
glass_blur,93.87000441551208,94.90000367164612,94.51000452041626,94.70000386238098,92.64000535011292
motion_blur,96.6200053691864,96.34000420570374,96.57000422477722,96.88000500202179,95.57000458240509
shear,98.34000527858734,98.59000444412231,98.60000431537628,98.25000584125519,98.44000458717346
scale,96.32000505924225,96.92000389099121,96.8900054693222,96.0200047492981,96.81000411510468
rotate,94.54000473022461,94.20000314712524,94.81000423431396,94.47000563144684,94.2900037765503
brightness,99.19000327587128,99.1500049829483,99.26000356674194,99.11000430583954,99.15000379085541
translate,60.37000298500062,58.830002546310425,62.70000338554382,61.550002694129944,61.480002403259284
stripe,90.50000488758087,89.42000389099121,83.63000392913818,88.21000516414642,92.41000413894653
fog,96.29000425338745,97.06000447273254,88.42000484466553,90.27000308036804,96.5900045633316
spatter,98.19000542163849,97.84000515937805,98.7600040435791,98.48000466823578,98.06000471115112
dotted_line,98.45000445842743,98.5800039768219,98.45000445842743,98.45000386238098,98.33000540733337
zigzag,92.2400051355362,94.3300050497055,91.9400030374527,93.0700033903122,91.86000466346741
canny_edges,73.00000369548798,65.86000323295593,69.44000244140625,70.77000319957733,73.12000334262848
,92.37000457942486,92.08562921732664,91.70437909662724,92.1743792295456,92.37187929451466
