corruption,./results/mnist/May29_2045_blur_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/May29_2056_blur_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/May29_2109_blur_res4_run3/best_epoch32_acc1.0000.pt,./results/mnist/May29_2121_blur_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/May29_2132_blur_res4_run5/best_epoch30_acc1.0000.pt
identity,99.44999837875366,99.39999830722809,99.529998421669,99.46999830007553,99.30999809503555
shot_noise,96.51999753713608,96.6399974822998,97.1999973654747,97.82999730110168,94.9599980711937
impulse_noise,95.07999777793884,95.92999792098999,96.9799975156784,97.46999764442444,95.57999765872955
glass_blur,94.14999788999557,94.83999770879745,94.63999795913696,94.82999777793884,93.0399979352951
motion_blur,96.74999767541885,96.27999806404114,96.55999737977982,96.91999733448029,95.68999779224396
shear,98.31999772787094,98.59999775886536,98.56999772787094,98.2399976849556,98.40999776124954
scale,96.35999780893326,97.02999776601791,96.899997651577,96.18999767303467,96.97999769449234
rotate,94.52999812364578,94.25999784469604,94.70999801158905,94.38999801874161,94.31999802589417
brightness,99.15999758243561,99.17999792098999,99.24999803304672,99.0599976181984,99.11999779939651
translate,59.51999852061272,58.18999853730201,62.26999905705451,60.17999866604805,60.47999852895737
stripe,88.91999793052673,85.12999784946442,69.24999839067459,86.26999795436859,86.98999792337418
fog,96.7099974155426,97.26999759674072,90.25999808311462,92.77999794483185,96.63999766111374
spatter,98.23999679088593,97.93999695777893,98.83999735116959,98.46999716758728,98.0799970626831
dotted_line,98.53999757766724,98.70999765396118,98.48999738693237,98.55999773740768,98.43999755382538
zigzag,92.68999809026718,94.45999789237976,91.90999847650528,93.1599982380867,91.86999815702438
canny_edges,73.31999802589417,65.55999872088432,69.4999985396862,70.94999852776527,73.41999810934067
,92.39124780334532,91.83874787390232,90.92874795943499,92.1731228493154,92.08312286436558
