corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,0.9901999831199646,0.9893999695777893,0.9896000027656555,0.9906999468803406,0.9902999997138977
shot_noise,0.94159996509552,0.930899977684021,0.9401999711990356,0.9485999941825867,0.9298999905586243
impulse_noise,0.5478999614715576,0.4943999946117401,0.5072000026702881,0.5455999970436096,0.4625999927520752
glass_blur,0.5250999927520752,0.6470999717712402,0.5945000052452087,0.670699954032898,0.6904999613761902
motion_blur,0.8252999782562256,0.9287999868392944,0.8791999816894531,0.8730999827384949,0.9277999997138977
shear,0.9740999937057495,0.971299946308136,0.9745999574661255,0.971299946308136,0.9691999554634094
scale,0.9524999856948853,0.9459999799728394,0.9505999684333801,0.9528999924659729,0.9373999834060669
rotate,0.9070999622344971,0.9066999554634094,0.9134999513626099,0.9089999794960022,0.9025999903678894
brightness,0.20989999175071716,0.28139999508857727,0.21319998800754547,0.2117999941110611,0.33709999918937683
translate,0.57669997215271,0.5715999603271484,0.5884999632835388,0.5644999742507935,0.568399965763092
stripe,0.8610000014305115,0.8876000046730042,0.8816999793052673,0.8100999593734741,0.8732999563217163
fog,0.11589999496936798,0.15379999577999115,0.10659999400377274,0.11140000075101852,0.17159999907016754
spatter,0.9423999786376953,0.9695999622344971,0.9517999887466431,0.9580999612808228,0.9696999788284302
dotted_line,0.9330999851226807,0.9423999786376953,0.9554999470710754,0.9442999958992004,0.9527999758720398
zigzag,0.839199960231781,0.8375999927520752,0.8614999651908875,0.8855999708175659,0.8727999925613403
canny_edges,0.5988999605178833,0.515999972820282,0.4957999885082245,0.5426999926567078,0.5460000038146973
