corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,99.09999966621399,99.0399956703186,99.05999898910522,99.16999936103821,99.05999898910522
shot_noise,97.22999930381775,96.90999984741211,97.24999666213989,97.28999733924866,96.72999978065491
impulse_noise,80.80999851226807,75.73999762535095,75.99999904632568,80.44999837875366,74.21000003814697
glass_blur,80.11999726295471,82.76000022888184,82.53999948501587,82.44999647140503,86.31999492645264
motion_blur,90.47999978065491,94.26999688148499,93.25000047683716,92.0199990272522,93.32999587059021
shear,97.7400004863739,97.75999784469604,97.9099988937378,97.68999814987183,97.5600004196167
scale,93.96999478340149,94.80999708175659,94.74999904632568,94.92999911308289,95.0499951839447
rotate,92.51999855041504,92.31999516487122,92.28000044822693,91.87999963760376,91.67999625205994
brightness,29.499998688697815,44.999998807907104,39.14999961853027,35.44999957084656,45.889997482299805
translate,53.02000045776367,51.7300009727478,54.10999655723572,51.660001277923584,53.099995851516724
stripe,81.19999766349792,67.75000095367432,80.75000047683716,77.3099958896637,79.6999990940094
fog,15.049999952316284,29.319998621940613,26.100000739097595,14.309999346733093,28.9000004529953
spatter,97.71999716758728,98.20999503135681,97.72999882698059,98.07999730110168,98.2699990272522
dotted_line,97.81000018119812,97.82999753952026,97.99000024795532,97.7400004863739,97.92999625205994
zigzag,94.5199966430664,93.83999705314636,94.41999793052673,94.88999843597412,94.08999681472778
canny_edges,63.58000040054321,57.85999894142151,55.68999648094177,56.90000057220459,61.729997396469116
