corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,1.1802635549743488,1.1535753796640853,1.1790669615926,1.0977648006443819,1.1667672500502917
shot_noise,1.218485661233753,1.1496493399339933,1.1737654320987654,1.1051984004921562,1.1892593746753921
impulse_noise,1.6749585406301823,1.5465787304204452,1.6718022955226968,1.540240613980502,1.6548244259087632
glass_blur,1.5514376996805113,1.3998518675272458,1.452492046659597,1.3173640167364016,1.4769015900300817
motion_blur,1.5161390762843798,1.5650577124868836,1.545710120783007,1.3485084710529052,1.6560291060291061
shear,1.6728162266843338,1.5403896894662066,1.5936165887375482,1.3713965569929714,1.5355580425272153
scale,1.9402597402597404,2.2138240200166805,1.938945420906568,1.61175863847344,1.7886507196852024
rotate,1.7719765583377731,1.6715973182930723,1.660531914893617,1.478560815113564,1.7100585417775414
brightness,2.199011498890458,2.200040290088638,2.229435483870968,2.1197780020181636,2.2338539042821157
translate,3.9555163283318624,3.9438902743142146,3.9687104358835232,3.092711682743837,3.890960752974605
stripe,2.425750136388434,3.1606833044174563,2.644871362768228,2.549024084008675,2.61992578432475
fog,2.0545622688039455,2.035337498719656,2.424042722417907,2.1360769310309173,2.028477094510937
spatter,1.314946982055465,1.3389934533551555,1.3076297876663618,1.2145045965270684,1.3160531697341513
dotted_line,1.3757489590738297,1.3045105177993528,1.353894459637395,1.2406183260449506,1.345012658227848
zigzag,1.7746840865281646,1.6516298633017876,1.7244843432724164,1.556773015361478,1.7305460017196905
canny_edges,1.984153005464481,2.0112294845954506,1.8532934131736527,1.7105807697613464,1.8242424242424242
