corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.40999746322632,99.44999814033508,99.46999549865723,99.41999912261963,99.42999482154846
shot_noise,98.58999848365784,98.64999651908875,98.78000020980835,98.63999485969543,98.2699990272522
impulse_noise,95.169997215271,96.10999822616577,93.95999908447266,94.6399986743927,95.0499951839447
glass_blur,94.5099949836731,95.15999555587769,94.72999572753906,95.84999680519104,93.45999956130981
motion_blur,97.079998254776,96.1899995803833,96.31999731063843,96.91999554634094,96.72999978065491
shear,98.40999841690063,98.74999523162842,98.56999516487122,98.46999645233154,98.42999577522278
scale,96.33999466896057,96.13999724388123,97.38999605178833,96.90999984741211,96.69999480247498
rotate,94.1100001335144,94.35999989509583,94.23999786376953,94.49999928474426,94.37999725341797
brightness,85.79999804496765,89.76999521255493,39.53999876976013,77.16999650001526,84.41999554634094
translate,66.26999974250793,66.76999926567078,65.89999794960022,66.8500006198883,67.32999682426453
stripe,77.49999761581421,47.30999767780304,74.8799979686737,73.75999689102173,74.52999949455261
fog,57.22000002861023,57.78999924659729,22.589999437332153,50.929999351501465,59.529995918273926
spatter,98.33999872207642,98.11999797821045,98.38999509811401,97.9699969291687,97.99000024795532
dotted_line,97.88999557495117,98.499995470047,98.05999994277954,97.56999611854553,98.05999994277954
zigzag,89.20999765396118,92.28000044822693,90.12999534606934,89.70999717712402,89.08999562263489
canny_edges,75.5299985408783,69.2900002002716,72.31999635696411,72.99000024795532,72.56999611854553
