corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.41999912261963,99.47999715805054,99.48999881744385,99.39999580383301,99.43999648094177
shot_noise,98.57999682426453,98.58999848365784,98.73999953269958,98.63999485969543,98.2699990272522
impulse_noise,94.38999891281128,95.60999870300293,93.32999587059021,94.26999688148499,94.47000026702881
glass_blur,94.13999915122986,94.96999979019165,94.18999552726746,95.5299973487854,93.04999709129333
motion_blur,97.079998254776,96.01999521255493,96.03999853134155,96.81999683380127,96.56999707221985
shear,98.39999675750732,98.71999621391296,98.51999878883362,98.39999675750732,98.43999743461609
scale,96.32999897003174,96.09999656677246,97.40999937057495,96.98999524116516,96.73999547958374
rotate,94.1100001335144,94.19999718666077,94.23999786376953,94.44999694824219,94.3299949169159
brightness,86.89000010490417,90.77000021934509,40.699997544288635,75.47000050544739,86.04999780654907
translate,68.50999593734741,68.55999827384949,67.41999983787537,67.89999604225159,68.93999576568604
stripe,82.1399986743927,67.9099977016449,81.32999539375305,82.5499951839447,82.81999826431274
fog,58.56999754905701,59.539997577667236,22.07999974489212,51.78999900817871,60.78000068664551
spatter,98.24999570846558,98.00999760627747,98.33999872207642,97.86999821662903,97.95999526977539
dotted_line,97.59999513626099,98.40999841690063,97.83999919891357,97.489994764328,97.93999791145325
zigzag,88.65999579429626,92.0199990272522,89.64999914169312,89.22999501228333,88.66999745368958
canny_edges,75.97000002861023,69.01999711990356,72.13000059127808,73.11999797821045,72.7400004863739
