corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,99.06999468803406,98.989999294281,99.07999634742737,99.07999634742737,99.0399956703186
shot_noise,91.1300003528595,92.3799991607666,92.80999898910522,93.47999691963196,91.3599967956543
impulse_noise,93.72999668121338,92.48999953269958,92.41999983787537,93.68999600410461,91.70999526977539
glass_blur,82.58999586105347,82.56999850273132,83.63999724388123,83.6899995803833,86.33999824523926
motion_blur,92.05999970436096,93.78999471664429,93.28999519348145,92.75999665260315,92.23999977111816
shear,97.72999882698059,97.47999906539917,97.67999649047852,97.68999814987183,97.36999869346619
scale,93.96999478340149,94.84999775886536,94.70999836921692,94.94999647140503,94.96999979019165
rotate,92.23999977111816,92.02999472618103,92.10000038146973,91.52999520301819,91.62999987602234
brightness,98.81999492645264,98.74999523162842,98.69999885559082,98.53999614715576,98.71999621391296
translate,47.08999991416931,46.140000224113464,47.74999916553497,45.99999785423279,45.71999907493591
stripe,84.11999940872192,69.42999958992004,83.26999545097351,81.57999515533447,82.40000009536743
fog,78.05999517440796,94.60999965667725,88.54999542236328,87.74999976158142,93.28999519348145
spatter,98.24000000953674,98.36999773979187,98.24000000953674,98.24999570846558,98.33999872207642
dotted_line,98.499995470047,98.4499990940094,98.53000044822693,98.55999946594238,98.50999712944031
zigzag,95.95999717712402,95.23999691009521,95.60999870300293,95.89999914169312,95.77999711036682
canny_edges,67.40999817848206,60.82000136375427,57.48000144958496,59.78999733924866,63.80000114440918
