corruption,./results/mnist/Aug14_0508_hsf_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_0525_hsf_res4_run2/best_epoch25_acc1.0000.pt,./results/mnist/Aug14_0540_hsf_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_0556_hsf_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0612_hsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.47999715805054,99.40999746322632,99.5199978351593,99.39000010490417,99.4599997997284
shot_noise,98.73999953269958,98.53000044822693,98.46999645233154,98.58999848365784,98.02999496459961
impulse_noise,93.5699999332428,94.22999620437622,93.47999691963196,94.37999725341797,92.71999597549438
glass_blur,93.27999949455261,93.84999871253967,94.97999548912048,94.9899971485138,92.40999817848206
motion_blur,97.13999629020691,96.45999670028687,96.87999486923218,96.5999960899353,95.78999876976013
shear,98.58999848365784,98.40999841690063,98.6299991607666,98.69999885559082,98.60999584197998
scale,96.15999460220337,96.37999534606934,96.32999897003174,95.98999619483948,96.78999781608582
rotate,94.2799985408783,94.35999989509583,94.52999830245972,93.54999661445618,94.37999725341797
brightness,90.25999903678894,89.13999795913696,69.8199987411499,77.70000100135803,83.12000036239624
translate,67.58999824523926,67.39000082015991,63.94000053405762,65.63000082969666,65.1199996471405
stripe,88.76000046730042,85.83999872207642,87.8499984741211,86.57000064849854,80.43999671936035
fog,44.110000133514404,50.74999928474426,29.279997944831848,35.88999807834625,60.519999265670776
spatter,98.10999631881714,98.05999994277954,98.46999645233154,98.12999963760376,97.77999520301819
dotted_line,98.00999760627747,98.33999872207642,97.69999980926514,95.93999981880188,97.38999605178833
zigzag,88.83999586105347,89.52999711036682,90.88999629020691,89.87999558448792,89.5799994468689
canny_edges,76.20999813079834,70.02999782562256,74.25000071525574,71.79999947547913,73.30999970436096
