corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,1.0,1.0,1.0,1.0,1.0
shot_noise,1.0,1.0,1.0,1.0,1.0
impulse_noise,1.0,1.0,1.0,1.0,1.0
glass_blur,1.0,1.0,1.0,1.0,1.0
motion_blur,1.0,1.0,1.0,1.0,1.0
shear,1.0,1.0,1.0,1.0,1.0
scale,1.0,1.0,1.0,1.0,1.0
rotate,1.0,1.0,1.0,1.0,1.0
brightness,1.0,1.0,1.0,1.0,1.0
translate,1.0,1.0,1.0,1.0,1.0
stripe,1.0,1.0,1.0,1.0,1.0
fog,1.0,1.0,1.0,1.0,1.0
spatter,1.0,1.0,1.0,1.0,1.0
dotted_line,1.0,1.0,1.0,1.0,1.0
zigzag,1.0,1.0,1.0,1.0,1.0
canny_edges,1.0,1.0,1.0,1.0,1.0
