corruption,./results/mnist/Aug14_0508_lsf_res4_run1/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0524_lsf_res4_run2/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0540_lsf_res4_run3/best_epoch26_acc1.0000.pt,./results/mnist/Aug14_0556_lsf_res4_run4/best_epoch29_acc1.0000.pt,./results/mnist/Aug14_0612_lsf_res4_run5/best_epoch28_acc1.0000.pt
identity,99.40999746322632,99.42999482154846,99.4599997997284,99.32000041007996,99.41999912261963
shot_noise,96.93999886512756,96.9599962234497,97.2000002861023,97.52999544143677,96.26999497413635
impulse_noise,96.48000001907349,97.03999757766724,96.70999646186829,96.4199960231781,97.10999727249146
glass_blur,93.89999508857727,94.5099949836731,94.29999589920044,95.59999704360962,93.07999610900879
motion_blur,96.34999632835388,95.29999494552612,96.03999853134155,96.20999693870544,96.19999527931213
shear,98.10999631881714,98.53999614715576,98.37999939918518,98.17000031471252,98.28999638557434
scale,96.24999761581421,95.91999650001526,97.28999733924866,96.95000052452087,96.56999707221985
rotate,93.84999871253967,93.96999478340149,93.99999976158142,94.22000050544739,93.94999742507935
brightness,99.14000034332275,99.27999973297119,99.19999837875366,99.09999966621399,99.24999475479126
translate,56.65000081062317,56.13999962806702,55.2899956703186,55.97999691963196,56.30999803543091
stripe,91.64999723434448,74.93000030517578,89.01000022888184,87.61000037193298,88.9299988746643
fog,97.31999635696411,97.63000011444092,88.00999522209167,96.70999646186829,96.91999554634094
spatter,98.07999730110168,97.75999784469604,98.42999577522278,97.89999723434448,97.79999852180481
dotted_line,98.46999645233154,98.87999892234802,98.72999787330627,98.3299970626831,98.74999523162842
zigzag,93.37999820709229,95.09999752044678,93.5699999332428,93.0899977684021,93.03999543190002
canny_edges,73.19999933242798,69.4599986076355,70.13999819755554,72.49000072479248,72.60000109672546
