corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,0.9879999756813049,0.9869999885559082,0.9881999492645264,0.9879999756813049,0.9876999855041504
shot_noise,0.7337999939918518,0.7238999605178833,0.7699999809265137,0.7978999614715576,0.7231999635696411
impulse_noise,0.8136000037193298,0.7789999842643738,0.7907999753952026,0.8259999752044678,0.7572000026702881
glass_blur,0.6069999933242798,0.6570000052452087,0.6352999806404114,0.6979999542236328,0.6969999670982361
motion_blur,0.8428999781608582,0.9136999845504761,0.8687999844551086,0.8637999892234802,0.8969999551773071
shear,0.9674999713897705,0.9655999541282654,0.9673999547958374,0.9681999683380127,0.9667999744415283
scale,0.94159996509552,0.9352999925613403,0.9414999485015869,0.9432999491691589,0.9244999885559082
rotate,0.9042999744415283,0.9038999676704407,0.9110999703407288,0.9021999835968018,0.8944999575614929
brightness,0.9787999987602234,0.9784999489784241,0.9754999876022339,0.963699996471405,0.981499969959259
translate,0.4519999921321869,0.43689998984336853,0.45619997382164,0.4375,0.4185999929904938
stripe,0.9279999732971191,0.9143999814987183,0.914900004863739,0.913599967956543,0.9167999625205994
fog,0.521399974822998,0.8982999920845032,0.6882999539375305,0.7317999601364136,0.8685999512672424
spatter,0.9666999578475952,0.9711999893188477,0.9699999690055847,0.9695999622344971,0.9704999923706055
dotted_line,0.9704999923706055,0.9726999998092651,0.9754999876022339,0.9754999876022339,0.9728999733924866
zigzag,0.9240999817848206,0.9129999876022339,0.9235999584197998,0.9316999912261963,0.9307000041007996
canny_edges,0.5371999740600586,0.43869999051094055,0.4518999755382538,0.5313999652862549,0.5087999701499939
