corruption,./results/mnist/Aug14_1023_fs_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1039_fs_res4_run2/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1051_fs_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_1102_fs_res4_run4/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_1114_fs_res4_run5/best_epoch25_acc1.0000.pt
identity,99.4599997997284,99.46999549865723,99.44999814033508,99.44999814033508,99.41999912261963
shot_noise,98.87999892234802,98.63999485969543,98.7999975681305,98.92999529838562,97.56999611854553
impulse_noise,95.44999599456787,94.36999559402466,95.63999772071838,96.20999693870544,90.62999486923218
glass_blur,93.53999495506287,92.85999536514282,96.19999527931213,95.75999975204468,91.33999943733215
motion_blur,97.05999493598938,95.8299994468689,96.66999578475952,97.3800003528595,93.9300000667572
shear,98.53000044822693,98.46999645233154,98.72999787330627,98.61999750137329,98.42999577522278
scale,96.05000019073486,96.25999927520752,97.16999530792236,97.11999893188477,96.81999683380127
rotate,94.56999897956848,94.62999701499939,94.66999769210815,94.36999559402466,94.22999620437622
brightness,91.3100004196167,95.99999785423279,46.10999822616577,53.18999886512756,89.47999477386475
translate,68.04999709129333,68.75999569892883,69.2900002002716,69.6399986743927,66.90999865531921
stripe,85.88999509811401,73.28000068664551,75.92999935150146,76.81999802589417,81.40999674797058
fog,57.53999948501587,74.75999593734741,19.129998981952667,26.11999809741974,63.190001249313354
spatter,98.06999564170837,97.7400004863739,98.61999750137329,98.03999662399292,97.7400004863739
dotted_line,97.75999784469604,98.22999835014343,97.6699948310852,97.65999913215637,97.64999747276306
zigzag,89.19000029563904,91.20999574661255,89.73000049591064,90.09999632835388,88.919997215271
canny_edges,76.57999992370605,71.98999524116516,71.78999781608582,72.86999821662903,73.89999628067017
