corruption,./results/mnist/Aug14_0805_lsf_conv_run5/best_epoch88_acc0.9988.pt,./results/mnist/Aug14_0740_lsf_conv_run4/best_epoch86_acc0.9982.pt,./results/mnist/Aug14_0721_lsf_conv_run3/best_epoch60_acc0.9987.pt,./results/mnist/Aug14_0658_lsf_conv_run2/best_epoch78_acc0.9987.pt,./results/mnist/Aug14_0635_lsf_conv_run1/best_epoch74_acc0.9981.pt
identity,3.7563998699188232,3.7479000091552734,3.7612998485565186,3.7024998664855957,3.8023998737335205
shot_noise,4.99839973449707,4.99839973449707,4.997200012207031,4.998799800872803,4.998799800872803
impulse_noise,4.9928998947143555,4.994199752807617,4.9944000244140625,4.9944000244140625,4.99429988861084
glass_blur,4.999499797821045,4.999799728393555,4.999799728393555,4.99970006942749,4.999499797821045
motion_blur,4.989799976348877,4.9853997230529785,4.98859977722168,4.996699810028076,4.993199825286865
shear,4.558300018310547,4.572499752044678,4.627099990844727,4.603300094604492,4.607699871063232
scale,4.997499942779541,4.995299816131592,4.9980998039245605,4.997900009155273,4.9980998039245605
rotate,4.76099967956543,4.743499755859375,4.796199798583984,4.770999908447266,4.754799842834473
brightness,4.4928998947143555,4.440000057220459,4.488999843597412,4.559999942779541,4.490900039672852
translate,4.995999813079834,4.995500087738037,4.9965996742248535,4.996999740600586,4.996799945831299
stripe,4.641200065612793,4.684000015258789,4.6468000411987305,4.671499729156494,4.694999694824219
fog,4.973399639129639,4.93589973449707,4.945899963378906,4.966700077056885,4.935699939727783
spatter,4.647500038146973,4.620800018310547,4.651199817657471,4.624799728393555,4.642600059509277
dotted_line,4.5243000984191895,4.505000114440918,4.524699687957764,4.52209997177124,4.542599678039551
zigzag,4.668299674987793,4.683599948883057,4.666599750518799,4.639899730682373,4.6774001121521
canny_edges,5.0,5.0,5.0,5.0,5.0
